paper,title,affiliation,author
s29-1,自動車の視界性能開発におけるバーチャルリアリティ(VR)の活用に関する研究<br>-VR評価と実車評価の比較検証-,スズキ,noname
s74-1,自動車技術会車外騒音部門委員会の活動概要,神奈川大学,noname
s56-2,自動車給油時における燃料タンク内圧が空気巻き込み現象に与える影響とその算出モデル,群馬大学大学院理工学府,noname
s70-3,自動車破砕残渣のマテリアルリサイクル技術の開発,名古屋大学,noname
s63-1,自動二輪車の排ガスに含まれる二酸化炭素の直接回収技術に関する研究,北見工業大学,noname
s77-2,自動二輪車走行時におけるライダーの姿勢・視線・操作と車両運動の同期解析,松江工業高等専門学校,noname
s5-1,湿式多板クラッチの高回転における引き摺りトルク上昇の検討（第3報）,マツダ,noname
s53-2,実車と没入型ドライビングシミュレータにおける交差点右折時の視認行動の評価,SUBARU,noname
s53-2,実車と没入型ドライビングシミュレータにおける交差点右折時の視認行動の評価,群馬大学,noname
s53-2,実車と没入型ドライビングシミュレータにおける交差点右折時の視認行動の評価,群馬大学 / SUBARU,noname
s62-1,社会と技術の関係から技術者倫理を再定義する,慶應義塾大学理工学部機械工学科,noname
s79-3,車椅子乗員の安全確保に向けた拘束装置の提案,滋賀医科大学,noname
s63-2,車載カーボンリサイクル技術に関する研究,北見工業大学,noname
s35-4,車載カメラ映像とマルチモーダル大規模言語モデルによる先進運転支援システムの改善支援技術,日立Astemo,noname
s35-4,車載カメラ映像とマルチモーダル大規模言語モデルによる先進運転支援システムの改善支援技術,日立製作所,noname
s6-6,車載型の代替計測手法を用いたディーゼル乗用車の排出ガス挙動の評価,自動車技術総合機構,noname
s67-1,車室内空気質向上のための車室内微粒子の数値解析,マツダ,noname
s31-3,車対車の信号なし交差点出会い頭事故におけるタクシードライバ・一般ドライバの行動比較,あいおいニッセイ同和損害保険,noname
s31-3,車対車の信号なし交差点出会い頭事故におけるタクシードライバ・一般ドライバの行動比較,東京農工大学,noname
s63-6,車両シミュレーションに適用するDPFモデルの開発とDPF再生制御の検討（第2報）,産業技術総合研究所,noname
s63-6,車両シミュレーションに適用するDPFモデルの開発とDPF再生制御の検討（第2報）,東京電機大学,noname
s63-6,車両シミュレーションに適用するDPFモデルの開発とDPF再生制御の検討（第2報）,東京電機大学大学院,noname
s51-3,車両デザイン検討のための自然言語駆動型3Dデザイン生成技術の研究,本田技研工業,noname
s66-5,車両のタイヤハウス内に設置可能な偏平型ダイナモメータを用いた車両台上試験への適用評価,東洋電機製造,noname
s16-3,車両運動力学と制御設計理論に基づく曲線完全追従を目指したパーフェクト・トラッキング・ドライバモデル<br>-混ぜるな危険！近藤モデルとフィードフォワード-,近畿大学,noname
s19-4,主成分寄与分析手法を用いたラゲッジルーム空間モデル高寄与音響モード抽出手法について,河西工業,noname
s19-4,主成分寄与分析手法を用いたラゲッジルーム空間モデル高寄与音響モード抽出手法について,大阪工業大学,noname
s24-5,樹脂部材を含むボルト締結構造体の減衰性能,東京都市大学,noname
s24-5,樹脂部材を含むボルト締結構造体の減衰性能,東京都市大学大学院,noname
s47-3,充電機能を統合した電気自動車用eAxleの性能向上,本田技術研究所,noname
s22-4,重ね合わせ継ぎ手に対する接合部を考慮した強度評価シミュレーション,山梨大学,noname
s81-2,重回帰モデルによるエンジンの物理量センサー値の予測,マツダ,noname
s72-3,重量EVにおける一充電走行距離の算出手法の検討<br>-試験時間短縮および回生制動特性の考慮-,自動車技術総合機構,noname
s43-5,重量車のエンジン排熱を用いた5kW級ランキンサイクル発電機によるエネルギー回収の実験<br>-第1報　実験装置の構築と動作確認試験-,日本自動車研究所,noname
s43-5,重量車のエンジン排熱を用いた5kW級ランキンサイクル発電機によるエネルギー回収の実験<br>-第1報　実験装置の構築と動作確認試験-,日本大学,noname
s31-4,出会い頭事故防止のための運転介入による減速支援の方法検討,トヨタ自動車,noname
s31-4,出会い頭事故防止のための運転介入による減速支援の方法検討,名古屋大学,noname
s41-4,商用車における車載太陽光発電システムの実現可能性に関する研究<br>-小型配送車を対象とした太陽光発電システムの車載効果の見積もり-,産業技術総合研究所,noname
s41-4,商用車における車載太陽光発電システムの実現可能性に関する研究<br>-小型配送車を対象とした太陽光発電システムの車載効果の見積もり-,早稲田大学,noname
s57-4,小型2ストローク対向ピストン型パワーユニットの研究,日本大学,noname
s57-4,小型2ストローク対向ピストン型パワーユニットの研究,日本大学大学院,noname
s39-5,小型水冷式燃料電池システム開発,トヨタ紡織,noname
s59-6,省燃費フラット粘度オイル JASO GLV-2油 0W-16の開発,ENEOS株式会社,noname
s59-6,省燃費フラット粘度オイル JASO GLV-2油 0W-16の開発,トヨタ自動車,noname
s45-2,乗用車空調音におけるSD法による音質評価,セキソー,noname
s66-4,振動疲労におけるAE波の振動モードを利用した初期損傷検出技術,エステック,noname
s27-5,振動抑制項を加えた多項式回帰による車両の軌道追従制御,本田技術研究所,noname
s50-2,深層学習による車両損壊程度の自動検知に関する研究,アデレード大学,noname
s50-2,深層学習による車両損壊程度の自動検知に関する研究,日本医科大学,noname
s50-2,深層学習による車両損壊程度の自動検知に関する研究,日本大学,noname
s16-4,深層学習座標変換を用いた車両運動の解析,防衛大学校,noname
s79-5,人体有限要素モデルを用いた電動キックボード事故時の傷害メカニズムの検討,関西大学,noname
s14-3,水系塗料を用いた樹脂グレージング用ハードコート材の開発,旭化成,noname
s14-3,水系塗料を用いた樹脂グレージング用ハードコート材の開発,株式会社レニアス,noname
s59-4,水素エンジンにおいて乳化したエンジンオイルの水分蒸発特性に関する研究,東京都市大学,noname
s34-4,水素エンジンの異常燃焼に関する研究<br>-ノッキング予測モデルの構築-,豊田自動織機,noname
s34-4,水素エンジンの異常燃焼に関する研究<br>-ノッキング予測モデルの構築-,豊田中央研究所,noname
s33-6,水素エンジンの異常燃焼のメカニズム解明（第二報　可視化による異常燃焼箇所の調査）,スズキ,noname
s33-1,水素専焼エンジン油圧パワーショベルの実証試験に基づく排気特性と燃費性能の評価,フラットフィールド,noname
s33-1,水素専焼エンジン油圧パワーショベルの実証試験に基づく排気特性と燃費性能の評価,株式会社オリエンタルコンサルタンツ,noname
s33-1,水素専焼エンジン油圧パワーショベルの実証試験に基づく排気特性と燃費性能の評価,金沢工業大学,noname
s33-1,水素専焼エンジン油圧パワーショベルの実証試験に基づく排気特性と燃費性能の評価,東京都市大学,noname
s1-3,水素噴流モデルによる筒内水素混合気形成の水素燃焼への影響調査,カワサキモータース,noname
s1-3,水素噴流モデルによる筒内水素混合気形成の水素燃焼への影響調査,川崎重工業,noname
s15-4,水平リサイクルに向けた廃車より回収したシートベルトウェビングの製造年分布と汚れ・劣化状態の分析(第1報),住化分析センター,noname
s15-4,水平リサイクルに向けた廃車より回収したシートベルトウェビングの製造年分布と汚れ・劣化状態の分析(第1報),本田技術研究所,noname
s32-4,生活道路における速度決定機械学習モデル改良のための潜在リスク地点抽出手法の初期検討,東京大学,noname
s10-5,生成AIが変えるデザインプロセスと知的財産権の対応,Final Aim,noname
s74-4,生成AI技術を活用した交通騒音データ生成に関する検討<br>-潜在空間のパラメータ操作による交通騒音生成の可能性-,沼津高専,noname
s74-4,生成AI技術を活用した交通騒音データ生成に関する検討<br>-潜在空間のパラメータ操作による交通騒音生成の可能性-,沼津高専専攻科,noname
s55-1,石油連盟－日本自動車工業会間のCO2低減に関する共同研究（AOIプロジェクト）について<br>-（第3報）-,ENEOS,noname
s55-1,石油連盟－日本自動車工業会間のCO2低減に関する共同研究（AOIプロジェクト）について<br>-（第3報）-,いすゞ自動車,noname
s55-1,石油連盟－日本自動車工業会間のCO2低減に関する共同研究（AOIプロジェクト）について<br>-（第3報）-,トヨタ自動車,noname
s55-1,石油連盟－日本自動車工業会間のCO2低減に関する共同研究（AOIプロジェクト）について<br>-（第3報）-,出光興産,noname
s55-1,石油連盟－日本自動車工業会間のCO2低減に関する共同研究（AOIプロジェクト）について<br>-（第3報）-,日産自動車,noname
s30-1,積層型SPAD距離センサーを用いた長距離高分解能LiDAR,ソニーセミコンダクタソリューションズ,noname
s20-4,接合面で生じる摩擦減衰の振幅依存性とその簡易推定手法に関する検討,ニュートンワークス,noname
s35-5,雪の，Camera・LiDAR・ミリ波Radarに対する反射・統計係数の測定,神奈川工科大学,noname
s35-5,雪の，Camera・LiDAR・ミリ波Radarに対する反射・統計係数の測定,防災科学技術研究所,noname
s31-1,先進安全技術の進化と事故低減効果解析 （第3報）,トヨタ自動車,noname
s53-7,潜在リスクに対するドライバの構え行動を促す情報提供,株式会社デンソー 先端技術研究所,noname
s53-7,潜在リスクに対するドライバの構え行動を促す情報提供,名古屋大学,noname
s73-1,潜熱蓄熱技術を用いたEV用蓄電池保温に関する研究,エフ・シー・シー,noname
s73-1,潜熱蓄熱技術を用いたEV用蓄電池保温に関する研究,北海道大学,noname
s83-3,繊維強化樹脂の異方性物性に関する機械学習による材料データの拡充,セラニーズ,noname
s83-2,繊維配向制御によるCFRTPの強度向上（製品形状の繊維配向への影響）,茨城県産業技術イノベーションセンター,noname
s83-2,繊維配向制御によるCFRTPの強度向上（製品形状の繊維配向への影響）,茨城大学大学院,noname
s29-5,前庭感覚サプライズモデルによる車両挙動評価,マツダ,noname
s78-5,前突時のシート位置による乗員下肢傷害の研究,トヨタ自動車,noname
s69-4,前方路面におけるタイヤ・路面間の摩擦特性推定システム構築に関する研究<br>-前方路面の摩擦特性推定システムに向けたセンサ選定とアルゴリズム構築-,アブソリュート株式会社,noname
s69-4,前方路面におけるタイヤ・路面間の摩擦特性推定システム構築に関する研究<br>-前方路面の摩擦特性推定システムに向けたセンサ選定とアルゴリズム構築-,大阪産業大学,noname
s69-4,前方路面におけるタイヤ・路面間の摩擦特性推定システム構築に関する研究<br>-前方路面の摩擦特性推定システムに向けたセンサ選定とアルゴリズム構築-,日本大学,noname
s77-1,全天球画像による自動二輪車の位置計測における適切なカメラ配置の検討,茨城工業高等専門学校,noname
s65-1,双方向電源システムを活用した車載バッテリ耐久性評価に関する効率的な試験方法の開発,菊水電子工業,noname
s65-1,双方向電源システムを活用した車載バッテリ耐久性評価に関する効率的な試験方法の開発,明電舎,noname
s77-3,走行中の運動センシングデータを時間スケールを含んだシンボル列へ変換する手法の提案<br>-バイクの歌を聴く-,静岡大学,noname
s73-3,走行中給電による省エネ，省資源社会への貢献,デンソー,noname
s50-1,側面衝突事故時の車両の回転挙動を考慮したΔV算出方法の検討,トヨタ自動車,noname
s17-6,多重連結車の蛇行運動解析,元　成蹊大学,noname
s42-3,太陽光発電システム搭載EV（PVEV）評価ツールの開発,産業技術総合研究所,noname
s29-6,対話型ユーザインタフェースの認知負荷の簡便な計測法の開発(第2報),名古屋大学,noname
s83-1,耐火構造の違いが繊維強化樹脂複合材料の燃焼性に及ぼす影響,ダイキョーニシカワ,noname
s83-1,耐火構造の違いが繊維強化樹脂複合材料の燃焼性に及ぼす影響,マツダ,noname
s83-1,耐火構造の違いが繊維強化樹脂複合材料の燃焼性に及ぼす影響,岐阜大学,noname
s83-1,耐火構造の違いが繊維強化樹脂複合材料の燃焼性に及ぼす影響,広島大学,noname
s17-1,大型車の自動運転の実用化に向けた空気ブレーキ系を考慮した車両運動シミュレーション,UDトラックス,noname
s79-2,単胎妊婦乗員モデル開発および当該モデルを用いた衝突時の胎盤剥離傷害予測,マツダ,noname
s79-2,単胎妊婦乗員モデル開発および当該モデルを用いた衝突時の胎盤剥離傷害予測,滋賀医科,noname
s38-1,中古部品・再生資源の越境移動と静脈ビジネスの新展開,長崎大学,noname
s38-1,中古部品・再生資源の越境移動と静脈ビジネスの新展開,北海学園大学,noname
s54-1,駐車支援システムの違和感低減に向けた駐車傾向の個人適合及び操舵アシスト,日立Astemo,noname
s54-1,駐車支援システムの違和感低減に向けた駐車傾向の個人適合及び操舵アシスト,日立製作所,noname
s45-1,聴覚的注意モデルによる情報伝達音の聴こえやすさ評価,マツダ,noname
s65-3,直噴ガソリンエンジンの冷間および希釈希薄燃焼における予混合乱流火炎の消炎挙動,SUBARU,noname
s2-5,低圧直噴水素エンジンにおける高噴射率化が熱効率に与える影響,川崎重工業,noname
s2-5,低圧直噴水素エンジンにおける高噴射率化が熱効率に与える影響,東京都市大学,noname
s61-3,低温でのアクチュエータ駆動実機評価 - アルミ電解コンデンサ低温特性の影響調査 -,ACテクノロジーズ,noname
s61-3,低温でのアクチュエータ駆動実機評価 - アルミ電解コンデンサ低温特性の影響調査 -,KOA,noname
s61-3,低温でのアクチュエータ駆動実機評価 - アルミ電解コンデンサ低温特性の影響調査 -,シーメンス,noname
s61-3,低温でのアクチュエータ駆動実機評価 - アルミ電解コンデンサ低温特性の影響調査 -,デンソー,noname
s61-3,低温でのアクチュエータ駆動実機評価 - アルミ電解コンデンサ低温特性の影響調査 -,ルビコン,noname
s61-3,低温でのアクチュエータ駆動実機評価 - アルミ電解コンデンサ低温特性の影響調査 -,東芝デバイス＆ストレージ,noname
s61-3,低温でのアクチュエータ駆動実機評価 - アルミ電解コンデンサ低温特性の影響調査 -,名古屋工業大学,noname
s61-3,低温でのアクチュエータ駆動実機評価 - アルミ電解コンデンサ低温特性の影響調査 -,名古屋大学,noname
s74-2,低周波数成分を含む自動車単体騒音に対する主観評価,小林理学研究所,noname
s74-2,低周波数成分を含む自動車単体騒音に対する主観評価,神奈川県環境科学センター/神奈川大学,noname
s74-2,低周波数成分を含む自動車単体騒音に対する主観評価,神奈川大学,noname
s74-2,低周波数成分を含む自動車単体騒音に対する主観評価,神奈川大学大学院,noname
s74-2,低周波数成分を含む自動車単体騒音に対する主観評価,大同大学,noname
s52-2,低速車両における経路追従制御（第3報）,FUTU-RE(フューチャー,noname
s59-7,低粘度EVフルードにおける添加剤の変質と摩擦特性の関係,日産アーク,noname
s65-2,点火時期を遅角した場合の質量燃焼割合50%クランク角度と指圧波形中の低次周波数成分との関係,本田技術研究所,noname
s65-2,点火時期を遅角した場合の質量燃焼割合50%クランク角度と指圧波形中の低次周波数成分との関係,明治大学,noname
s47-4,電界結合方式による複数台のAGVへの走行中ワイヤレス給電,ミライズテクノロジーズ,noname
s56-1,電気自動車の導入に伴うO3とPM2.5の地表面濃度への影響<br>-ヒートアイランド緩和効果の重要性とヒト健康リスク評価-,産業技術総合研究所,noname
s56-1,電気自動車の導入に伴うO3とPM2.5の地表面濃度への影響<br>-ヒートアイランド緩和効果の重要性とヒト健康リスク評価-,東京大学大学院,noname
s81-4,電装部品における実車ノイズ評価予測技術について,株式会社 Sohwa &amp; Sophia Technologies,noname
s85-6,電動キックボードのメタ認知運転教育の提案と効果検証,あいおいニッセイ同和損害保険株式会社,noname
s85-6,電動キックボードのメタ認知運転教育の提案と効果検証,香川大学,noname
s47-1,電動化機器を搭載したxEVの効率的なHILS検証手法について<br>--因果モデルを用いたリアルタイム検証--,MCOR,noname
s60-5,電動化車両における，インバータ，モータの各設計変更に伴うCN（Carbon Neutral）の相互影響予測,アイシン,noname
s60-5,電動化車両における，インバータ，モータの各設計変更に伴うCN（Carbon Neutral）の相互影響予測,デジタルツインズ,noname
s60-5,電動化車両における，インバータ，モータの各設計変更に伴うCN（Carbon Neutral）の相互影響予測,日立Astemo,noname
s47-2,電動車冷却システムにおけるポンプ起動の効率化技術,株式会社アイシン,noname
s52-3,電動小型低速車両(LLV)における加速・減速時の乗員挙動と主観評価,ヤマハ発動機,noname
s52-3,電動小型低速車両(LLV)における加速・減速時の乗員挙動と主観評価,名古屋大学,noname
s35-3,都市自動運転に向けた強化学習とその獲得モデルの検証,NTTデータオートモビリジェンス研究所,noname
s3-1,筒内直接噴射式火花点火機関の非定常筒内流動場における噴霧形成過程の解明,同志社大学,noname
s3-1,筒内直接噴射式火花点火機関の非定常筒内流動場における噴霧形成過程の解明,同志社大学大学院,noname
s3-1,筒内直接噴射式火花点火機関の非定常筒内流動場における噴霧形成過程の解明,本田技研工業,noname
s1-2,筒内直噴水素エンジンと吸気ポート噴射水素エンジンの排気NOx等の比較,カワサキモータース,noname
s1-2,筒内直噴水素エンジンと吸気ポート噴射水素エンジンの排気NOx等の比較,スズキ,noname
s1-2,筒内直噴水素エンジンと吸気ポート噴射水素エンジンの排気NOx等の比較,ヤマハ発動機,noname
s1-2,筒内直噴水素エンジンと吸気ポート噴射水素エンジンの排気NOx等の比較,本田技研工業,noname
s53-1,動的死角がある場面や自転車を追い越す場面での注意深いドライバの運転行動,自動車技術総合機構,noname
s74-3,道路交通騒音による中途覚醒の客観的評価<br>-ウェアラブルデバイスを用いた試み-,社会システム,noname
s74-3,道路交通騒音による中途覚醒の客観的評価<br>-ウェアラブルデバイスを用いた試み-,神奈川県環境科学センター／神奈川大学,noname
s74-3,道路交通騒音による中途覚醒の客観的評価<br>-ウェアラブルデバイスを用いた試み-,神奈川大学,noname
s74-3,道路交通騒音による中途覚醒の客観的評価<br>-ウェアラブルデバイスを用いた試み-,大同大学,noname
s74-5,道路交通騒音予測モデル“ASJ RTN-Model2023”の概要,九州大芸工,noname
s74-5,道路交通騒音予測モデル“ASJ RTN-Model2023”の概要,東大生研,noname
s74-5,道路交通騒音予測モデル“ASJ RTN-Model2023”の概要,名城大理工,noname
s14-1,内装インパネへのスエード材貼り込み技術構築<br>-Development of Suede Material Application Technology for Interior Instrument Panels.-,本田技研工業,noname
s3-2,内燃機関の設計計算に適用可能な粒径分布予測モデルの開発（第3報）<br>-5成分ガソリンサロゲートに対する検証-,茨城大学 カーボンリサイクルエネルギー研究センター,noname
s3-2,内燃機関の設計計算に適用可能な粒径分布予測モデルの開発（第3報）<br>-5成分ガソリンサロゲートに対する検証-,千葉大学大学院,noname
s3-2,内燃機関の設計計算に適用可能な粒径分布予測モデルの開発（第3報）<br>-5成分ガソリンサロゲートに対する検証-,大分大学,noname
s3-2,内燃機関の設計計算に適用可能な粒径分布予測モデルの開発（第3報）<br>-5成分ガソリンサロゲートに対する検証-,大分大学大学院,noname
s3-2,内燃機関の設計計算に適用可能な粒径分布予測モデルの開発（第3報）<br>-5成分ガソリンサロゲートに対する検証-,日本大学,noname
s76-3,二輪車の力学的要素がフレームの柔軟性に及ぼす影響の解析,久留米工業大学,noname
s76-4,二輪車の力学的要素がフレームの柔軟性に及ぼす影響の解析（第2報）<br>-柔軟性を表す指標の応用例-,久留米工業大学,noname
s76-2,日本語タイトル：<br>内傾機構を備えたパーソナルモビリティビークル(PMV)の制動を伴う障害物回避性能のシミュレーション解析,大阪産業業大学,noname
s76-2,日本語タイトル：<br>内傾機構を備えたパーソナルモビリティビークル(PMV)の制動を伴う障害物回避性能のシミュレーション解析,日本大学,noname
s76-2,日本語タイトル：<br>内傾機構を備えたパーソナルモビリティビークル(PMV)の制動を伴う障害物回避性能のシミュレーション解析,名古屋大学,noname
s7-4,尿素エマルジョン燃料噴霧による混合気形成の光学的解析,東北学院大学,noname
s22-1,熱弾性温度変動を用いたC-SMCの疲労損傷度評価,トヨタ自動車,noname
s22-1,熱弾性温度変動を用いたC-SMCの疲労損傷度評価,京都教育大学,noname
s22-1,熱弾性温度変動を用いたC-SMCの疲労損傷度評価,豊田中央研究所,noname
s30-4,農業のスマート安全に資するトラクタドライビングシミュレータ,宇都宮大学,noname
s30-4,農業のスマート安全に資するトラクタドライビングシミュレータ,東京農工大学,noname
s30-4,農業のスマート安全に資するトラクタドライビングシミュレータ,日本大学,noname
s30-4,農業のスマート安全に資するトラクタドライビングシミュレータ,農研機構,noname
s30-4,農業のスマート安全に資するトラクタドライビングシミュレータ,琉球大学,noname
s43-7,排ガスからの熱回収による熱電発電性能評価,東京電機大学,noname
s20-3,半無響環境PT-VRSの車両振動騒音開発への適用,トヨタ自動車,noname
s82-4,非線形性をもつ自動車シート用ウレタンフォームの動的粘弾性測定,SUBARU,noname
s82-4,非線形性をもつ自動車シート用ウレタンフォームの動的粘弾性測定,群馬大学,noname
s82-4,非線形性をもつ自動車シート用ウレタンフォームの動的粘弾性測定,日本発条,noname
s13-1,部材一体化を実現するホットスタンプブロー成形工法の開発,株式会社　今西製作所,noname
s13-1,部材一体化を実現するホットスタンプブロー成形工法の開発,住友重機械工業,noname
s13-1,部材一体化を実現するホットスタンプブロー成形工法の開発,日本製鉄,noname
s44-4,部品公差による車両音感度分散範囲の高速予測手法開発,日産自動車,noname
s44-4,部品公差による車両音感度分散範囲の高速予測手法開発,日本CDH,noname
s9-5,風切り音性能開発を目的とした，Aピラー周りの剥離点予測に必要なCFD空間解像度の検討,オートテクニックジャパン,noname
s9-5,風切り音性能開発を目的とした，Aピラー周りの剥離点予測に必要なCFD空間解像度の検討,パーソルクロステクノロジー,noname
s9-5,風切り音性能開発を目的とした，Aピラー周りの剥離点予測に必要なCFD空間解像度の検討,ホンダテクノフォート,noname
s9-5,風切り音性能開発を目的とした，Aピラー周りの剥離点予測に必要なCFD空間解像度の検討,本田技研工業,noname
s7-5,副室式ディーゼルエンジン車を用いたシャシダイナモメータ試験による尿素エマルジョン燃料の性能評価,東北学院大学,noname
s27-4,複数のアプローチによる自動緊急回避ベンチマーク問題の解法探索,本田技術研究所,noname
s22-3,複数の破壊形態を考慮した点接合部の疲労強度予測手法<br>-Flow Drilling Screw (FDS)の疲労強度予測手法-,トヨタ自動車,noname
s63-3,物理吸着法によるエンジン排気からのCO₂分離・回収<br>-ガソリンエンジンとディーゼルエンジンの排気特性の違いがCO₂の吸着・脱離特性に及ぼす影響-,静岡理工科大学,noname
s6-3,噴孔オフセットノズルを用いた高圧縮比ディーゼル機関の熱効率向上,新エィシーイー,noname
s79-1,平均体型女性バーチャル人体モデルの開発,トヨタ自動車,noname
s19-3,平面構造物における瞬時振動インテンシティの計測手法,SUBARU,noname
s19-3,平面構造物における瞬時振動インテンシティの計測手法,SUBARU / 神奈川大学,noname
s19-3,平面構造物における瞬時振動インテンシティの計測手法,神奈川大学,noname
s85-3,歩行者エージェントモデルの構築に向けたMR歩行者シミュレータの開発とシミュレータ実験データベース構築の提案,香川大学,noname
s85-3,歩行者エージェントモデルの構築に向けたMR歩行者シミュレータの開発とシミュレータ実験データベース構築の提案,三咲デザイン,noname
s22-5,密閉鍛造方式による異種金属パイプ材回転摩擦接合(RFW)の解析的検討<br>-MBD手法を用いた工法条件の適正化-,アトリCAE,noname
s17-4,目標車両モデルを内包するモデル予測制御を用いた走行安定化技術,日立Astemo,noname
s17-4,目標車両モデルを内包するモデル予測制御を用いた走行安定化技術,日立製作所,noname
s21-2,様々な負荷スペクトル下でのeMotorのNVHシミュレーションプロセス全体の提案と測定値との相関性,Magna Powertrain Engineering Center Steyr GmbH,noname
s21-2,様々な負荷スペクトル下でのeMotorのNVHシミュレーションプロセス全体の提案と測定値との相関性,マグナ・インターナショナル・ジャパン,noname
s46-3,連続出力向上を達成するコイル浸漬油冷技術の開発,Astemo,noname
s32-2,路肩堆雪を要因とする市街地におけるハザードの情報提示に関する検討,秋田大学大学院理工学研究科 システムデザイン工学専攻,noname
s32-2,路肩堆雪を要因とする市街地におけるハザードの情報提示に関する検討,北海道大学大学院,noname
s32-2,路肩堆雪を要因とする市街地におけるハザードの情報提示に関する検討,北海道大学大学院工学院,noname
s69-5,路面摩擦計測システム構築に向けた新たな取り組み,株,noname
s69-5,路面摩擦計測システム構築に向けた新たな取り組み,先進路面摩擦データベース研究組合,noname
s69-5,路面摩擦計測システム構築に向けた新たな取り組み,大阪産業大学,noname
s69-5,路面摩擦計測システム構築に向けた新たな取り組み,日本大学,noname
s86-2,論題：　マルチエージェント交通シミュレーションにおける交通参加者エージェントの統<br>一的な経路計画アルゴリズムと実データからのパラメータ推定,三咲デザイン,noname
s86-2,論題：　マルチエージェント交通シミュレーションにおける交通参加者エージェントの統<br>一的な経路計画アルゴリズムと実データからのパラメータ推定,東洋大学,noname
